status,type,approved,lat,lng
ACTIVE,Dumbwaiter,19991019,40.75285,-73.99003
ACTIVE,Dumbwaiter,19990903,40.75501,-73.97029
ACTIVE,Dumbwaiter,19991006,40.75953,-73.97859
ACTIVE,Dumbwaiter,19991006,40.75953,-73.97859
ACTIVE,Dumbwaiter,19990922,40.73095,-73.99481
DISMANTLED,Dumbwaiter,20140528,40.74268,-73.97677
ACTIVE,Dumbwaiter,,40.73095,-73.99481
ACTIVE,Dumbwaiter,20000120,40.70482,-74.01239
ACTIVE,Dumbwaiter,19991208,40.77895,-73.95897
ACTIVE,Dumbwaiter,19991122,40.78028,-73.98015
WK IN PROG,Dumbwaiter,,40.78639,-73.95567
ACTIVE,Dumbwaiter,20001102,40.75464,-73.96661
ACTIVE,Dumbwaiter,19991220,40.74273,-73.97988
ACTIVE,Dumbwaiter,20010402,40.78124,-73.96025
ACTIVE,Dumbwaiter,20000119,40.71391,-73.99671
ACTIVE,Dumbwaiter,20010907,40.71901,-74.00813
ACTIVE,Dumbwaiter,20000911,40.74263,-73.9985
ACTIVE,Dumbwaiter,20000703,40.75547,-73.99439
ACTIVE,Dumbwaiter,20040917,40.77152,-73.96633
ACTIVE,Dumbwaiter,20000414,40.73526,-73.99277
ACTIVE,Dumbwaiter,20000417,40.71444,-73.99854
ACTIVE,Dumbwaiter,20000417,40.71444,-73.99854
ACTIVE,Dumbwaiter,20040622,40.78649,-73.9551
ACTIVE,Dumbwaiter,20000601,40.77451,-73.98316
ACTIVE,Dumbwaiter,20000615,40.70482,-74.01239
WK IN PROG,Dumbwaiter,,40.76568,-73.96397
ACTIVE,Dumbwaiter,20010326,40.77778,-73.96208
ACTIVE,Dumbwaiter,20000807,40.71773,-73.99554
ACTIVE,Dumbwaiter,20010424,40.76221,-73.99434
ACTIVE,Dumbwaiter,20000724,40.78457,-73.97317
ACTIVE,Dumbwaiter,20020606,40.74945,-73.98009
ACTIVE,Dumbwaiter,20000829,40.75779,-73.98379
ACTIVE,Dumbwaiter,20010205,40.77111,-73.98284
ACTIVE,Dumbwaiter,20010402,40.73652,-73.99118
ACTIVE,Dumbwaiter,20010321,40.76721,-73.96973
ACTIVE,Dumbwaiter,20001218,40.73586,-73.98703
ACTIVE,Dumbwaiter,20010208,40.76584,-73.97144
NO JURIST,Dumbwaiter,20001016,40.77518,-73.9641
ACTIVE,Dumbwaiter,20001031,40.76367,-73.98683
